"season","player_id","player","franchise_id","team","WAA","position","total_snaps"
2014,50446,"Amari Coleman",134,"MICE",0.004,"CB",15
2014,9437,"Amari Cooper",103,"ALUN",0.817,"WR",816
2014,9640,"Amarlo Herrera",173,"GAUN",0.055,"LB",782
2014,12034,"Amba Etta-Tawo",215,"MDUN",-0.069,"WR",327
2014,9487,"Ameer Abdullah",238,"NEUN",0.464,"HB",691
2014,10950,"Amir Carlisle",258,"INND",-0.021,"WR",373
2014,48282,"Ammon Barker",180,"HIUN",-0.07,"WR",286
2014,17500,"Ammon Lakip",140,"SCCL",-0.006,"K",0
2014,24550,"Ammon Tuimaunei",114,"NYWP",-0.004,"DI",4
2014,39554,"Amos Houston",160,"MIEA",0.029,"S",218
2014,50555,"Amos Mason",237,"MDNA",-0.005,"DI",37
2014,9801,"Andrae Kirk",165,"FLAT",0.239,"LB",836
2014,18306,"Andre Booker",190,"INUN",-0.007,"WR",68
2014,13133,"Andre Brown",331,"TXSN",-0.036,"CB",42
2014,51194,"Andre Chachere",285,"CASJ",-0.004,"CB",38
2014,14164,"Andre Davis",126,"NYBU",0.082,"G",848
2014,18451,"Andre Davis",199,"KSST",-0.001,"WR",56
2014,9731,"Andre Davis",327,"FLSO",0.086,"WR",400
2014,9654,"Andre Debose",163,"FLUN",-0.022,"WR",37
2014,45922,"Andre Flakes",318,"ALTR",-0.031,"WR",79
2014,17163,"Andre Givens",122,"OHBG",-0.009,"HB",235
2014,51379,"Andre Godfrey",328,"UTUN",-0.001,"S",155
2014,13792,"Andre Heidari",326,"CASC",-0.003,"K",0
2014,50980,"Andre Hunt",278,"NJRU",0.008,"S",101
2014,24773,"Andre Jones",138,"OHCI",0.151,"S",675
2014,47813,"Andre Levrone",335,"VAUN",-0.007,"WR",373
2014,12628,"Andre Lewis",328,"UTUN",-0.003,"WR",56
2014,24161,"Andre Miles-Redmond",335,"VAUN",-0.003,"DI",19
2014,14653,"Andre Monroe",215,"MDUN",0.135,"DI",864
2014,12043,"Andre Patton",278,"NJRU",0.01,"WR",314
2014,12846,"Andre Robinson",319,"LATU",-0.002,"ED",86
2014,19433,"Andre Ross",315,"TXTC",0.02,"ED",150
2014,37854,"Andre Simmons",263,"VAOD",-0.025,"LB",158
2014,17238,"Andre Sims",223,"MIST",0.001,"WR",23
2014,14587,"Andre Taylor",208,"LATC",-0.051,"ED",303
2014,48813,"Andre Turner",347,"MIWE",0.016,"ED",257
2014,19027,"Andre Yruretagoyena",264,"ORUN",-0.009,"T",147
2014,12025,"Andreas Knappe",146,"CTUN",0.002,"T",524
2014,11240,"Andrew Adams",146,"CTUN",0.075,"S",882
2014,26510,"Andrew Allen",242,"NMST",-0.023,"QB",76
2014,39298,"Andrew Aurand",347,"MIWE",-0.003,"G",19
2014,18682,"Andrew Baggett",229,"MOUN",-0.003,"K",0
2014,47121,"Andrew Beck",311,"TXUN",-0.004,"TE",15
2014,10756,"Andrew Billings",118,"TXBA",0.29,"DI",735
2014,16665,"Andrew Bohan",102,"OHAK",-0.003,"T",29
2014,20083,"Andrew Bolton",198,"KSUN",-0.034,"DI",292
2014,12645,"Andrew Bridges",333,"TNVA",-0.025,"T",346
2014,49636,"Andrew Brown",335,"VAUN",-0.005,"DI",71
2014,20009,"Andrew Buie",343,"WVUN",-0.108,"HB",214
2014,21403,"Andrew Bunch",289,"SCUN",-0.004,"WR",8
2014,12778,"Andrew Dean",242,"NMST",-0.032,"TE",147
2014,26673,"Andrew DiRocco",319,"LATU",-0.004,"K",0
2014,9552,"Andrew Donnal",192,"IAUN",0.105,"T",962
2014,38622,"Andrew Endicott",349,"WIUN",0,"K",0
2014,50175,"Andrew Everett",263,"VAOD",-0.075,"ED",514
2014,16579,"Andrew Flory",134,"MICE",-0.004,"WR",10
2014,14548,"Andrew Gaines",218,"TNMS",0.184,"CB",732
2014,38531,"Andrew Gantz",138,"OHCI",-0.003,"K",0
2014,9747,"Andrew Gleichert",223,"MIST",-0.008,"TE",272
2014,19872,"Andrew Haldeman",347,"MIWE",-0.003,"K",0
